name,csv_height,csv_weight,csv_reach,csv_stance,csv_dob,wiki_matched,wiki_url,match_reason,wiki_name,wiki_birth_name,wiki_birth_date,wiki_birth_place,wiki_nationality,wiki_height,wiki_weight,wiki_weight_class,wiki_reach_in,wiki_stance,wiki_style,wiki_team,wiki_trainer,wiki_rank,wiki_years_active,wiki_fighting_out_of,wiki_mma_kowin,wiki_mma_subwin,wiki_mma_decwin,wiki_mma_koloss,wiki_mma_subloss,wiki_mma_decloss,wiki_mma_draw,wiki_mma_nc,wiki_sherdog,wiki_title,wiki_height_imperial,wiki_height_cm,wiki_weight_lb,wiki_weight_kg,wiki_reach_cm,wiki_other_names,wiki_reach,wiki_mma_dqwin,wiki_mma_dqloss,wiki_residence,wiki_height_ft,wiki_height_in,height_final,weight_final,reach_final,stance_final,dob_final
Jonny Carson,"5' 10""",155 lbs.,--,,--,False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 10""",155 lbs.,--,,--
Scott Carson,"6' 2""",215 lbs.,--,,--,False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 2""",215 lbs.,--,,--
Shonie Carter,"5' 10""",170 lbs.,--,Southpaw,"May 03, 1972",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 10""",170 lbs.,--,Southpaw,"May 03, 1972"
Jack Cartwright,"5' 9""",135 lbs.,"68""",Orthodox,"May 26, 1994",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 9""",135 lbs.,"68""",Orthodox,"May 26, 1994"
Bruno Carvalho,"5' 8""",154 lbs.,--,,"Jun 07, 1982",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 8""",154 lbs.,--,,"Jun 07, 1982"
Antonio Carvalho,"5' 9""",145 lbs.,"70""",Orthodox,"May 30, 1979",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 9""",145 lbs.,"70""",Orthodox,"May 30, 1979"
Rafael Carvalho,"6' 3""",185 lbs.,--,,"Jul 27, 1986",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 3""",185 lbs.,--,,"Jul 27, 1986"
Shane Carwin,"6' 2""",265 lbs.,"80""",Orthodox,"Jan 04, 1975",True,https://en.wikipedia.org/wiki/Shane_Carwin,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Shane Carwin,Shane Bannister Carwin,,"Greeley, Colorado, U.S.",,6 ft 2 in,,Heavyweight (265 lb),,,"Wrestling, Boxing","Grudge Training Center Jackson's Submission FightingMatt Freeman, Shane Carwin: Engineering Greatness . Blogs.mirror.co.uk (March 18, 2010). Retrieved on June 13, 2012.",Greg JacksonTrevor WittmanNate Marquardt,Purple belt in Brazilian Jiu-Jitsu,2005–2011 (MMA),"Denver, Colorado, U.S.",8,4,,,1,1,,,14013,Shane Carwin,"6'2""",188.0,,,,,,,,,,,"6' 2""",265 lbs.,"80""",Orthodox,"Jan 04, 1975"
Johnny Case,"5' 10""",155 lbs.,"72""",Orthodox,"Jun 28, 1989",True,https://en.wikipedia.org/wiki/Johnny_Case,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Johnny Case,Johnny Case,,"Jefferson, Iowa, United States",,,,Lightweight,,,Boxing,Alliance MMA (2014–2015) Power MMA (2015–2016) The MMA Lab (2016–present) Xtreme Couture Mixed Martial Arts (2018–2021) Bonsai jiu-jitsu (2022–present),,Purple belt in Brazilian Jiu-Jitsu under John Crouch,2007–present,"Las Vegas, Nevada, United States",20,4,4,4,3,3,1,1,28017,Johnny Case,,,,,,Hollywood,,,,,,,"5' 10""",155 lbs.,"72""",Orthodox,"Jun 28, 1989"
Kevin Casey,"5' 11""",185 lbs.,"77""",Southpaw,"Jun 15, 1981",True,https://en.wikipedia.org/wiki/Kevin_Casey_(fighter),"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Kevin Casey,Kevin Berryman Casey Jr.,,"Inglewood, California, U.S.",American,,,Middleweight (2007–present),,,Brazilian jiu-jitsu,Black House Rickson Gracie Jiu-Jitsu,,Black belt in Brazilian Jiu-Jitsu,2007–present (MMA),"Hawthorne, California, U.S.",3,3,3,6,,,2,2,24121,Kevin Casey (fighter),,,,,,King,,,,,,,"5' 11""",185 lbs.,"77""",Southpaw,"Jun 15, 1981"
Cortney Casey,"5' 7""",125 lbs.,"67""",Orthodox,"May 05, 1987",True,https://en.wikipedia.org/wiki/Cortney_Casey,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Cortney Casey,,,"Mesa, Arizona, U.S.",,,,StrawweightFlyweight,,,,,,Brown belt in Brazilian Jiu-Jitsu,2012–present,,3,4,3,,2,8,,,91121,Cortney Casey,,,,,,Cast Iron,,,,,,,"5' 7""",125 lbs.,"67""",Orthodox,"May 05, 1987"
Brandon Cash,"6' 5""",255 lbs.,--,Orthodox,--,False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 5""",255 lbs.,--,Orthodox,--
Bendy Casimir,"5' 5""",145 lbs.,--,Southpaw,"Jun 10, 1980",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 5""",145 lbs.,--,Southpaw,"Jun 10, 1980"
Dwayne Cason,"5' 10""",212 lbs.,--,Orthodox,--,False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 10""",212 lbs.,--,Orthodox,--
Joe Cason,"6' 3""",205 lbs.,--,,"Jan 19, 1988",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 3""",205 lbs.,--,,"Jan 19, 1988"
John Castaneda,"5' 6""",135 lbs.,"71""",Switch,"Dec 18, 1991",True,https://en.wikipedia.org/wiki/John_Castañeda,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",John Castañeda,John Castañeda,,"Dallas, Texas, U.S.",,,135 lb,LightweightFeatherweightBantamweight,71.0,,,Mankato Martial Arts (2010–2014) Minnesota Martial Arts Academy (2015–present) Bangtao Muay Thai & MMA (2023–present),,Black belt in Brazilian Jiu-Jitsu under Greg Nelson,2012–present,"Minneapolis, Minnesota, U.S.",8,6,7,2,,6,1,,86536,John Castañeda,,,135.0,61.2,180.3,Sexi Mexi,71 in,,,,,,"5' 6""",135 lbs.,"71""",Switch,"Dec 18, 1991"
Eric Castile,"5' 8""",145 lbs.,--,,--,False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 8""",145 lbs.,--,,--
Gil Castillo,"5' 9""",170 lbs.,--,Southpaw,"Oct 21, 1965",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 9""",170 lbs.,--,Southpaw,"Oct 21, 1965"
Danny Castillo,"5' 9""",155 lbs.,"71""",Orthodox,"Aug 25, 1979",True,https://en.wikipedia.org/wiki/Danny_Castillo,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Danny Castillo,Daniel Alfonso Castillo,,"San Francisco, California, U.S.",,,,Lightweight,,Southpaw,,Team Alpha Male,,"Black belt in Brazilian Jiu-Jitsu under Fábio ""Pateta"" Prado",2007–2015,"Sacramento, California, U.S",6,4,7,3,2,5,,,26070,Danny Castillo,,,,,,Last Call,,,,,,,"5' 9""",155 lbs.,"71""",Orthodox,"Aug 25, 1979"
Raul Castillo,"5' 11""",185 lbs.,--,Orthodox,--,False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 11""",185 lbs.,--,Orthodox,--
Jenna Castillo,"5' 2""",125 lbs.,--,,"May 05, 1982",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 2""",125 lbs.,--,,"May 05, 1982"
Tim Catalfo,"5' 11""",235 lbs.,--,Orthodox,--,False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 11""",235 lbs.,--,Orthodox,--
Nick Catone,"6' 0""",185 lbs.,"72""",Southpaw,"Sep 01, 1981",True,https://en.wikipedia.org/wiki/Nick_Catone,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Nick Catone,,,"Brick Township, New Jersey, U.S.",American,,,Middleweight Welterweight,,,,Nick Catone MMA Academy,,3rd degree Black belt in Brazilian Jiu-Jitsu under Ricardo Almeida,2007–2015,"Brick Township, New Jersey, U.S.",3,3,4,1,2,1,,,23006,Nick Catone,,,,,,The Jersey Devil,,,,,,,"6' 0""",185 lbs.,"72""",Southpaw,"Sep 01, 1981"
Luke Caudillo,"5' 7""",155 lbs.,--,Orthodox,"Nov 30, 1980",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 7""",155 lbs.,--,Orthodox,"Nov 30, 1980"
Gesias Cavalcante,"5' 8""",155 lbs.,"71""",Orthodox,"Jul 06, 1983",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 8""",155 lbs.,"71""",Orthodox,"Jul 06, 1983"
Rafael Cavalcante,"6' 1""",205 lbs.,"74""",Orthodox,"Apr 14, 1980",True,https://en.wikipedia.org/wiki/Rafael_Cavalcante,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Rafael Cavalcante,,,"Ilha Solteira, São Paulo, Brazil",,6 ft 0 in,,Heavyweight (265 lb) Light heavyweight (205 lb),,,,X-Gym Team Nogueira,,"Black belt in Brazilian Jiu-Jitsu, Black belt in Muay Thai",2006–2017,"Rio de Janeiro, Brazil",13,,,4,,2,,1,16161,Rafael Cavalcante,"6'0""",182.9,,,,Feijão,,,1,,,,"6' 1""",205 lbs.,"74""",Orthodox,"Apr 14, 1980"
Jacqueline Cavalcanti,"5' 8""",135 lbs.,"70""",Orthodox,"Aug 29, 1997",True,https://en.wikipedia.org/wiki/Jacqueline_Cavalcanti,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Jacqueline Cavalcanti,Jacqueline dos Santos Cavalcanti,,"Pirituba, São Paulo, Brazil",,5 ft 8 in,,Bantamweight,70.0,,,Reborn Fight Team,,,2018–present,"Almada, Portugal",3,,7,,,1,,,293351,Jacqueline Cavalcanti,"5'8""",172.7,,,177.8,The Nightmare,70 in,,,,,,"5' 8""",135 lbs.,"70""",Orthodox,"Aug 29, 1997"
Igor Cavalcanti,"5' 11""",170 lbs.,"79""",Orthodox,"Oct 10, 1997",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 11""",170 lbs.,"79""",Orthodox,"Oct 10, 1997"
Magnus Cedenblad,"6' 5""",185 lbs.,"79""",Orthodox,"Apr 10, 1982",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 5""",185 lbs.,"79""",Orthodox,"Apr 10, 1982"
