name,csv_height,csv_weight,csv_reach,csv_stance,csv_dob,wiki_matched,wiki_url,match_reason,wiki_name,wiki_birth_name,wiki_birth_date,wiki_birth_place,wiki_nationality,wiki_height,wiki_weight,wiki_weight_class,wiki_reach_in,wiki_stance,wiki_style,wiki_team,wiki_trainer,wiki_rank,wiki_years_active,wiki_fighting_out_of,wiki_mma_kowin,wiki_mma_subwin,wiki_mma_decwin,wiki_mma_koloss,wiki_mma_subloss,wiki_mma_decloss,wiki_mma_draw,wiki_mma_nc,wiki_sherdog,wiki_title,wiki_height_imperial,wiki_height_cm,wiki_weight_lb,wiki_weight_kg,wiki_reach_cm,wiki_other_names,wiki_reach,wiki_mma_dqwin,wiki_mma_dqloss,wiki_residence,wiki_height_ft,wiki_height_in,height_final,weight_final,reach_final,stance_final,dob_final
Mark Striegl,"5' 8""",145 lbs.,"70""",Southpaw,"Jun 23, 1988",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 8""",145 lbs.,"70""",Southpaw,"Jun 23, 1988"
Hans Stringer,"6' 3""",205 lbs.,--,Orthodox,"Jul 06, 1987",True,https://en.wikipedia.org/wiki/Hans_Stringer,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Hans Stringer,,,"Zevenbergen, Netherlands",,,,HeavyweightLight Heavyweight,,,,Blackzilians Jaco Hybrid Training Center,,Third degree Black belt in Brazilian Jiu-Jitsu,2005–2016,"Boca Raton, Florida, United StatesRhenen, Netherlands",9,8,5,3,1,3,3,,14825,Hans Stringer,,,,,,,,,,,,,"6' 3""",205 lbs.,--,Orthodox,"Jul 06, 1987"
Stefan Struve,"6' 11""",265 lbs.,"84""",Orthodox,"Feb 18, 1988",True,https://en.wikipedia.org/wiki/Stefan_Struve,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Stefan Struve,Stefan Struve,,"Beverwijk, Netherlands",,7 ft 0 inStefan Struve UFC profile; ufc.comStefan Struve sherdog profile; sherdog.com,,Heavyweight (2006–2021)Light Heavyweight (2005–2006),,,,Team Schreiber Blackzilians (2015–2016) Sanford MMA (formerly),,Brown belt in Brazilian Jiu-Jitsu,2005–2020,"Beverwijk, Netherlands",8,18,2,9,1,3,,,15063,Stefan Struve,"7'0""",213.4,,,,Skyscraper,,1,,,,,"6' 11""",265 lbs.,"84""",Orthodox,"Feb 18, 1988"
Josh Stuart,"5' 9""",160 lbs.,--,,--,False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 9""",160 lbs.,--,,--
Mike Stumpf,"5' 10""",170 lbs.,--,,"Aug 01, 1986",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 10""",170 lbs.,--,,"Aug 01, 1986"
Kyle Sturgeon,"6' 3""",225 lbs.,--,Switch,--,False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 3""",225 lbs.,--,Switch,--
Tatiana Suarez,"5' 5""",115 lbs.,"66""",Southpaw,"Dec 19, 1990",True,https://en.wikipedia.org/wiki/Tatiana_Suarez,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Tatiana Suarez,Tatiana Yadira Suarez,,"Covina, California, U.S.",,,,Flyweight Strawweight,,Southpaw,Wrestling,Millennia MMA Gym,,Black belt in Brazilian Jiu-Jitsu,,"Rancho Cucamonga, California, U.S.",2,6,4,,,1,,,161107,Tatiana Suarez,,,,,,,,,,,,,"5' 5""",115 lbs.,"66""",Southpaw,"Dec 19, 1990"
Masanori Suda,"5' 9""",183 lbs.,--,Orthodox,--,False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 9""",183 lbs.,--,Orthodox,--
Genki Sudo,"5' 9""",155 lbs.,--,Orthodox,"Mar 08, 1978",True,https://en.wikipedia.org/wiki/Genki_Sudo,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",,,,,,1.75 m,70 kg,Lightweight,,,"Greco-Roman wrestling, Karate, Kung Fu, Brazilian Jiu-Jitsu, Kickboxing, Sambo, Shootfighting",Beverly Hills Jiu-Jitsu Club,,"Black belt in Brazilian Jiu-Jitsu2010年04月09日 April 9, 2010 crnavi.jp Retrieved: 31 August 2010.",1998–2006,"Tokyo, Japan",1,12,3,1,,3,1,,1227,Genki Sudo,,,154.3,70.0,,Neo-Samurai (UFC)Transforming Trickster (K-1/Hero's),,,,,,,"5' 9""",155 lbs.,--,Orthodox,"Mar 08, 1978"
Lucasz Sudolski,"6' 4""",205 lbs.,"75""",Orthodox,"Jun 15, 1993",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 4""",205 lbs.,"75""",Orthodox,"Jun 15, 1993"
Daisuke Sugie,"5' 6""",160 lbs.,--,Orthodox,--,False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 6""",160 lbs.,--,Orthodox,--
Takashi Sugiura,"5' 11""",225 lbs.,--,Southpaw,"May 31, 1970",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 11""",225 lbs.,--,Southpaw,"May 31, 1970"
Naho Sugiyuma,"5' 1""",105 lbs.,--,,"Feb 03, 1978",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 1""",105 lbs.,--,,"Feb 03, 1978"
Sulangrangbo,"5' 9""",135 lbs.,"66""",Southpaw,"Jul 17, 2005",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 9""",135 lbs.,"66""",Southpaw,"Jul 17, 2005"
George Sullivan,"6' 0""",170 lbs.,"73""",Orthodox,"Mar 13, 1981",True,https://en.wikipedia.org/wiki/George_Sullivan_(fighter),"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",George Sullivan,,,"Red Bank, New Jersey, United States",American,,,MiddleweightWelterweight,,,,Pellegrino MMA,Kurt Pellegrino,Brown belt in Brazilian Jiu-Jitsu under Kurt Pellegrino,2006–2023,"Belmar, New Jersey, United States",11,,8,1,5,2,,2,15148,George Sullivan (fighter),,,,,,The Silencer,,,,,,,"6' 0""",170 lbs.,"73""",Orthodox,"Mar 13, 1981"
Amar Suloev,"5' 9""",183 lbs.,--,Orthodox,"Jul 01, 1976",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 9""",183 lbs.,--,Orthodox,"Jul 01, 1976"
Magomed Sultanakhmedov,"6' 2""",185 lbs.,--,Southpaw,--,False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 2""",185 lbs.,--,Southpaw,--
Justin Sumter,"6' 2""",185 lbs.,"80""",Southpaw,"Nov 16, 1989",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 2""",185 lbs.,"80""",Southpaw,"Nov 16, 1989"
Sumudaerji,"5' 8""",125 lbs.,"72""",Southpaw,"Jan 20, 1996",True,https://en.wikipedia.org/wiki/Su_Mudaerji,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Su Mudaerji,,,"Ngawa Tibetan and Qiang Autonomous Prefecture, Sichuan, China",,,,Flyweight Bantamweight,72.0,,Sanda,Enbo Fight ClubTeam Alpha MaleAmerican Top Team,,,2016–present,"Aba, Sichuan, China",13,1,5,,6,1,,,228263,Su Mudaerji,,,,,182.9,The Tibetan Eagle,72 in,,,,,,"5' 8""",125 lbs.,"72""",Southpaw,"Jan 20, 1996"
Rama Supandhi,"5' 5""",125 lbs.,"66""",Southpaw,"Nov 07, 1991",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 5""",125 lbs.,"66""",Southpaw,"Nov 07, 1991"
Aji Susilo,"5' 10""",155 lbs.,--,,--,False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 10""",155 lbs.,--,,--
Baisangur Susurkaev,"6' 2""",185 lbs.,"79""",Orthodox,"Jan 08, 2001",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 2""",185 lbs.,"79""",Orthodox,"Jan 08, 2001"
Louie Sutherland,"6' 3""",264 lbs.,"76""",Orthodox,"Feb 08, 1994",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 3""",264 lbs.,"76""",Orthodox,"Feb 08, 1994"
Jason Suttie,"6' 0""",210 lbs.,--,Orthodox,"Aug 07, 1973",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 0""",210 lbs.,--,Orthodox,"Aug 07, 1973"
Joel Sutton,"5' 11""",205 lbs.,--,Orthodox,--,False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 11""",205 lbs.,--,Orthodox,--
Chad Sutton,"6' 1""",185 lbs.,--,,"Aug 07, 1982",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 1""",185 lbs.,--,,"Aug 07, 1982"
Danilo Suzart,"6' 0""",260 lbs.,--,Orthodox,"Dec 04, 1991",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 0""",260 lbs.,--,Orthodox,"Dec 04, 1991"
Martin Svensson,"6' 1""",155 lbs.,--,,"Apr 25, 1985",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 1""",155 lbs.,--,,"Apr 25, 1985"
Daniel Swain,"5' 9""",145 lbs.,"70""",Orthodox,"Jan 30, 1991",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 9""",145 lbs.,"70""",Orthodox,"Jan 30, 1991"
Cub Swanson,"5' 8""",145 lbs.,"70""",Orthodox,"Nov 02, 1983",True,https://en.wikipedia.org/wiki/Cub_Swanson,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Cub Swanson,Kevin Luke Swanson,,"Palm Springs, California, U.S.",,5 ft 8 in,145 lb,"Bantamweight (2022) Featherweight (2006–2021, 2023–2026) Lightweight (2004–2006)",70.0,Orthodox,,Jackson Wink MMA (until 2018) The Treigning Lab (2017–2019) UFC GYM Costa Mesa (2017–present),Greg Jackson Joel Díaz Rigan Machado,Black belt in Brazilian Jiu-Jitsu under Rigan Machado,2004–2026,"Palm Springs, California, U.S.",15,4,12,3,7,4,,,11002,Cub Swanson,"5'8""",172.7,145.0,65.8,177.8,,70 in,,,,,,"5' 8""",145 lbs.,"70""",Orthodox,"Nov 02, 1983"
Mike Swick,"6' 1""",170 lbs.,"77""",Orthodox,"Jun 19, 1979",True,https://en.wikipedia.org/wiki/Mike_Swick,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Mike Swick,,,"Houston, Texas, U.S.",,,,Middleweight (185 lb) Welterweight (170 lb) Light Heavyweight (205 lb),77.0,,,AKA Thailand,,Purple belt in Brazilian Jiu-Jitsu under Dave Camarillo,"1998–2010, 2012, 2015 (MMA)","San Jose, California, United States",8,3,4,2,1,3,,,5199,Mike Swick,,,,,195.6,,77 in,,,,,,"6' 1""",170 lbs.,"77""",Orthodox,"Jun 19, 1979"
Floyd Sword,"6' 0""",185 lbs.,--,Orthodox,"Aug 24, 1976",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 0""",185 lbs.,--,Orthodox,"Aug 24, 1976"
Oumar Sy,"6' 4""",205 lbs.,"83""",Orthodox,"Nov 21, 1995",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 4""",205 lbs.,"83""",Orthodox,"Nov 21, 1995"
Klaudia Sygula,"5' 8""",135 lbs.,"69""",Orthodox,"Dec 30, 1998",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 8""",135 lbs.,"69""",Orthodox,"Dec 30, 1998"
Bentley Syler,"5' 4""",125 lbs.,--,Orthodox,"Dec 22, 1982",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 4""",125 lbs.,--,Orthodox,"Dec 22, 1982"
Kevin Syler,"5' 9""",155 lbs.,"71""",Switch,"Jul 29, 1993",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 9""",155 lbs.,"71""",Switch,"Jul 29, 1993"
Leo Sylvest,"5' 11""",205 lbs.,--,Orthodox,"Sep 03, 1973",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 11""",205 lbs.,--,Orthodox,"Sep 03, 1973"
Tony Sylvester,"6' 1""",225 lbs.,--,Southpaw,"Jan 27, 1978",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 1""",225 lbs.,--,Southpaw,"Jan 27, 1978"
Tim Sylvia,"6' 8""",265 lbs.,"80""",Orthodox,"Mar 05, 1976",True,https://en.wikipedia.org/wiki/Tim_Sylvia,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Tim Sylvia,Timothy Deane Sylvia,,"Ellsworth, Maine, U.S.",,6 ft 8 in,265 lb,"Heavyweight (2001–2008, 2011–2015) Super Heavyweight (2009–2011, 2013)",,,,American Top Team (2013–2015) Miletich Fighting Systems (2001–2009) Team Wolfpack (2009–2012),,Brown belt in Brazilian Jiu-Jitsu,2001–2015 (MMA),"Pleasant Valley, Iowa, U.S.",22,2,7,3,4,3,,1,1061,Tim Sylvia,"6'8""",203.2,265.0,120.2,,The Maine-iac,,,,,,,"6' 8""",265 lbs.,"80""",Orthodox,"Mar 05, 1976"
Kevin Szaflarski,"6' 5""",260 lbs.,"77""",Orthodox,"Dec 30, 1994",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 5""",260 lbs.,"77""",Orthodox,"Dec 30, 1994"
Sebastian Szalay,"5' 6""",145 lbs.,"66""",Orthodox,"Feb 03, 1994",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 6""",145 lbs.,"66""",Orthodox,"Feb 03, 1994"
Bartosz Szewczyk,"6' 4""",205 lbs.,"73""",Orthodox,"Sep 18, 1997",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 4""",205 lbs.,"73""",Orthodox,"Sep 18, 1997"
Osamu Tachihikari,"6' 5""",300 lbs.,--,Orthodox,--,False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 5""",300 lbs.,--,Orthodox,--
Amber Tackett,--,115 lbs.,--,,--,False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,115 lbs.,--,,--
Eugenio Tadeu,"5' 8""",160 lbs.,--,Orthodox,--,False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 8""",160 lbs.,--,Orthodox,--
Albert Tadevosyan,--,170 lbs.,--,,"Apr 12, 1992",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,170 lbs.,--,,"Apr 12, 1992"
Justin Tafa,"6' 0""",264 lbs.,"74""",Southpaw,"Dec 13, 1993",True,https://en.wikipedia.org/wiki/Justin_Tafa,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Justin Tafa,,,"West Auckland, New Zealand",Australian,,,,74.0,Southpaw,,Tafa Gang Fight Team/ NTG,Gerard Tafa,Blue belt in Brazilian Jiu-Jitsu under Patrick Cronin,2017–2025https://www.mmafighting.com/ufc/449224/justin-tafa-issues-statement-after-being-released-from-ufc-following-latest-fight-cancellation,"Brisbane, Queensland, Australia",7,,,2,,3,,1,254717,Justin Tafa,,,,,188.0,Bad Man,74in,,,,,,"6' 0""",264 lbs.,"74""",Southpaw,"Dec 13, 1993"
Junior Tafa,"6' 3""",205 lbs.,"75""",Orthodox,"Sep 21, 1996",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 3""",205 lbs.,"75""",Orthodox,"Sep 21, 1996"
Khalid Taha,"5' 5""",135 lbs.,"69""",Orthodox,"Feb 15, 1992",True,https://en.wikipedia.org/wiki/Khalid_Taha,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Khalid Taha,,,"Dortmund, Germany",German,,,LightweightFeatherweightBantamweight,,,,Arena Dortmund,,Green belt in Taekwondo,2013–present,"Warendorf, Germany",12,2,2,1,1,3,,1,117849,Khalid Taha,,,,,,The Warrior,,,,,,,"5' 5""",135 lbs.,"69""",Orthodox,"Feb 15, 1992"
Joe Taimanglo,"5' 4""",135 lbs.,--,,"Jun 27, 1984",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 4""",135 lbs.,--,,"Jun 27, 1984"
Tatsuro Taira,"5' 7""",125 lbs.,"70""",Orthodox,"Jan 27, 2000",True,https://en.wikipedia.org/wiki/Tatsuro_Taira,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Tatsuro Taira,,,"Naha, Okinawa, Japan",,,,Flyweight Bantamweight,70.0,,,The Blackbelt Japan,,Purple belt in Brazilian Jiu-Jitsu青→紫 帯昇格しました✌︎ 平良達郎 (t.tatsurooo6) Instagram 2021年1月15日,2018–present,"Naha, Okinawa, Japan",6,8,4,,,1,,,293975,Tatsuro Taira,,,,,177.8,,70 in,,,,,,"5' 7""",125 lbs.,"70""",Orthodox,"Jan 27, 2000"
Mairbek Taisumov,"5' 9""",155 lbs.,"73""",Orthodox,"Aug 08, 1988",True,https://en.wikipedia.org/wiki/Mairbek_Taisumov,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Mairbek TaisumovМайрбек Тайсумов,,,"Grozny, Checheno-Ingush ASSR, Soviet Union",AustrianMoroccan,,,Lightweight,,,,Tiger Muay Thai Berkut MMA,"Muay Thai: Kru Phet Wrestling: Zelimkhan Huseynov MMA: Roger Huerta, George Hickman BJJ: Alex Schild, Chris Vamos",,2007–present,"Vienna, AustriaPhuket, Thailand",15,9,3,1,1,4,,,33161,Mairbek Taisumov,,,,,,Beckan,,,,,,,"5' 9""",155 lbs.,"73""",Orthodox,"Aug 08, 1988"
Taiyilake Nueraji,"6' 2""",170 lbs.,"75""",Southpaw,"Jan 12, 2001",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 2""",170 lbs.,"75""",Southpaw,"Jan 12, 2001"
Nobuhiko Takada,"6' 0""",220 lbs.,--,Southpaw,"Apr 12, 1962",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 0""",220 lbs.,--,Southpaw,"Apr 12, 1962"
Yoshiki Takahashi,"5' 11""",199 lbs.,--,Southpaw,"Mar 13, 1969",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 11""",199 lbs.,--,Southpaw,"Mar 13, 1969"
Yoko Takahashi,"5' 8""",150 lbs.,--,,"Apr 20, 1973",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": false}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 8""",150 lbs.,--,,"Apr 20, 1973"
Daiju Takase,"6' 0""",170 lbs.,--,Southpaw,"Apr 20, 1978",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 0""",170 lbs.,--,Southpaw,"Apr 20, 1978"
Hiroyuki Takaya,"5' 6""",139 lbs.,--,Orthodox,"Jun 10, 1977",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 6""",139 lbs.,--,Orthodox,"Jun 10, 1977"
Yoshihiro Takayama,"6' 5""",280 lbs.,--,Orthodox,"Sep 19, 1968",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 5""",280 lbs.,--,Orthodox,"Sep 19, 1968"
Makoto Takimoto,"5' 7""",205 lbs.,--,Southpaw,"Dec 08, 1979",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 7""",205 lbs.,--,Southpaw,"Dec 08, 1979"
Oleg Taktarov,"6' 0""",210 lbs.,--,Orthodox,"Aug 26, 1967",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 0""",210 lbs.,--,Orthodox,"Aug 26, 1967"
Payton Talbott,"5' 10""",135 lbs.,"70""",Switch,"Sep 09, 1998",True,https://en.wikipedia.org/wiki/Payton_Talbott,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Payton Talbott,Payton Anthony Talbott,,"Las Vegas, Nevada, U.S.",,5 ft 10 in,135 lb,Bantamweight,70.5,,,Reno Academy of Combat,Rick Collup,,2021–present,"Reno, Nevada, U.S.",7,1,3,,,1,,,296553,Payton Talbott,"5'10""",177.8,135.0,61.2,179.1,,70.5 in,,,,,,"5' 10""",135 lbs.,"70""",Switch,"Sep 09, 1998"
Nordine Taleb,"6' 1""",170 lbs.,"74""",Orthodox,"Jun 10, 1981",True,https://en.wikipedia.org/wiki/Nordine_Taleb,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Nordine Taleb,,,"Saint-Tropez, France",FranceCanada,,,MiddleweightWelterweight,,,,Tristar Gym,,Brown belt in Brazilian Jiu-Jitsu under Firas Zahabi,2007–2019,"Montreal, Quebec, Canada",7,,8,3,2,2,,,26261,Nordine Taleb,,,,,,,,,,,,,"6' 1""",170 lbs.,"74""",Orthodox,"Jun 10, 1981"
Murtaza Talha,"6' 0""",205 lbs.,"74""",Orthodox,"Jul 10, 1996",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 0""",205 lbs.,"74""",Orthodox,"Jul 10, 1996"
Tsuyoshi Tamakairiki,"6' 0""",220 lbs.,--,Orthodox,--,False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 0""",220 lbs.,--,Orthodox,--
Eli Tamez,"5' 7""",135 lbs.,--,,"Aug 22, 1985",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 7""",135 lbs.,--,,"Aug 22, 1985"
Kiyoshi Tamura,"5' 11""",185 lbs.,--,Southpaw,"Dec 17, 1969",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 11""",185 lbs.,--,Southpaw,"Dec 17, 1969"
Akitoshi Tamura,"5' 9""",135 lbs.,"70""",Orthodox,"May 31, 1980",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 9""",135 lbs.,"70""",Orthodox,"May 31, 1980"
Issei Tamura,"5' 5""",135 lbs.,"63""",Orthodox,"Mar 12, 1984",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 5""",135 lbs.,"63""",Orthodox,"Mar 12, 1984"
Jason Tan,"5' 10""",170 lbs.,--,Orthodox,"Dec 17, 1981",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 10""",170 lbs.,--,Orthodox,"Dec 17, 1981"
Akihito Tanaka,--,--,--,Southpaw,--,False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,--,Southpaw,--
Michinori Tanaka,"5' 5""",135 lbs.,"67""",Orthodox,"Oct 04, 1990",True,https://en.wikipedia.org/wiki/Michinori_Tanaka,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Michinori Tanaka,,,"Yokohama, Kanagawa, Japan",Japanese,5 ft 5 in,135 lb,Bantamweight (135 lb),2.0,,,Reversal Gym Yokohama Ground Slam (2009–2014) Team Alpha Male (2015–present),,2nd degree black belt in Judo,2010–present,"Yokohama, Kanagawa, Japan",,6,10,,,4,,,71942,Michinori Tanaka,"5'5""",165.1,135.0,61.2,5.1,,67+1/2 in,,,,,,"5' 5""",135 lbs.,"67""",Orthodox,"Oct 04, 1990"
Evan Tanner,"6' 0""",185 lbs.,"74""",Orthodox,"Feb 11, 1971",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 0""",185 lbs.,"74""",Orthodox,"Feb 11, 1971"
Kasey Tanner,"5' 7""",135 lbs.,"69""",Orthodox,"Jan 11, 1992",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 7""",135 lbs.,"69""",Orthodox,"Jan 11, 1992"
Otari Tanzilovi,"5' 10""",135 lbs.,"70""",Orthodox,"Apr 09, 1998",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 10""",135 lbs.,"70""",Orthodox,"Apr 09, 1998"
Manny Tapia,"5' 5""",135 lbs.,"67""",Orthodox,"Mar 14, 1981",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 5""",135 lbs.,"67""",Orthodox,"Mar 14, 1981"
Gary Tapusoa,"5' 7""",185 lbs.,--,,--,False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 7""",185 lbs.,--,,--
