name,profile_url,weight_class,wins,losses,draws,SLpM,str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg,rank
Anthony,http://ufcstats.com/fighter-details/bd92cf5da5413d2a,--,1,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Amilcar,http://ufcstats.com/fighter-details/dc5a6b2fdb27e7dc,--,15,12,0,0.5,46.0,2.02,30.0,0.0,0.0,53.0,0.0,
Warlley,http://ufcstats.com/fighter-details/d317a5e2b3f88c5f,"72.0""",15,8,0,3.04,48.0,3.95,50.0,1.22,50.0,62.0,0.8,
Rafael,http://ufcstats.com/fighter-details/029afd138865d20a,"68.0""",20,12,0,1.85,48.0,3.3,58.0,0.29,25.0,44.0,1.5,
Sam,http://ufcstats.com/fighter-details/d156513a19acf856,"75.0""",33,18,1,3.28,44.0,3.63,52.0,0.06,14.0,82.0,0.1,
Christopher,http://ufcstats.com/fighter-details/f4abf9aeda861283,"74.0""",7,1,0,6.97,62.0,2.11,50.0,0.0,0.0,100.0,0.0,
Mahamed,http://ufcstats.com/fighter-details/86c1441676af2c73,"78.0""",4,1,0,6.0,66.0,12.0,33.0,0.0,0.0,0.0,0.0,
Andre,http://ufcstats.com/fighter-details/20821819c401ced8,--,6,4,1,2.27,24.0,5.91,63.0,0.0,0.0,20.0,0.0,
Adlan,http://ufcstats.com/fighter-details/1e327b281ef6a745,"76.0""",14,2,1,3.29,47.0,0.82,78.0,5.84,56.0,100.0,0.0,
Maiara,http://ufcstats.com/fighter-details/247fbbfafea60bb1,--,7,3,0,5.53,35.0,24.47,33.0,0.0,0.0,100.0,0.0,
Chris,http://ufcstats.com/fighter-details/ee0b69e307c857e5,--,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jimmy,http://ufcstats.com/fighter-details/c912f676692c353a,--,17,21,1,0.83,29.0,3.76,40.0,3.13,57.0,100.0,0.8,
JJ,http://ufcstats.com/fighter-details/d562b12b8fe88336,--,28,7,0,3.16,69.0,6.32,33.0,0.0,0.0,50.0,0.0,
Alen,http://ufcstats.com/fighter-details/70fa1c64a2c439ef,"74.0""",8,4,0,0.99,30.0,3.85,46.0,0.0,0.0,0.0,0.0,
Hyder,http://ufcstats.com/fighter-details/41cc71cbf210e0fe,"70.0""",11,2,0,5.81,52.0,3.95,51.0,0.56,18.0,65.0,0.8,
Hamid,http://ufcstats.com/fighter-details/6c40705cf6c0d7e2,--,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Makwan,http://ufcstats.com/fighter-details/87a1dc546b1c5caf,"72.0""",17,9,0,1.33,44.0,2.98,46.0,3.96,43.0,35.0,1.1,
Jaqueline,http://ufcstats.com/fighter-details/bc7d1ad49fcb2d08,"68.0""",10,2,0,2.43,50.0,2.16,54.0,2.16,36.0,0.0,3.8,
Yaroslav,http://ufcstats.com/fighter-details/f139d6836efd43dd,"75.0""",29,1,0,2.78,47.0,1.55,54.0,4.64,50.0,0.0,4.6,
Bertrand,http://ufcstats.com/fighter-details/53adf5b845d91e4a,--,1,1,0,6.75,39.0,2.01,83.0,0.0,0.0,0.0,0.0,
Karl,http://ufcstats.com/fighter-details/23a8c33869bf5392,--,27,7,2,1.47,34.0,2.67,54.0,0.0,0.0,25.0,1.0,
Eryk,http://ufcstats.com/fighter-details/cad24459b28592ca,"75.0""",18,9,0,3.44,47.0,4.03,50.0,1.83,25.0,80.0,0.1,
Matt,http://ufcstats.com/fighter-details/8738eacd62e82a32,--,14,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Andy,http://ufcstats.com/fighter-details/9199e0735b83dd32,--,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Lowell,http://ufcstats.com/fighter-details/1ffc38f67785797b,--,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Corey,http://ufcstats.com/fighter-details/5e4eec08896c9423,"79.0""",14,5,0,4.43,46.0,2.22,59.0,4.89,50.0,83.0,0.0,
Derek,http://ufcstats.com/fighter-details/19ba965651486013,--,14,3,0,3.97,37.0,3.08,61.0,0.34,14.0,60.0,0.0,
Megan,http://ufcstats.com/fighter-details/a0e75f4a13eb73f1,"72.0""",11,5,0,1.76,46.0,3.35,37.0,0.52,25.0,53.0,0.5,
Liam,http://ufcstats.com/fighter-details/b03a0c78ca45facf,"75.0""",6,3,0,3.0,52.0,6.53,31.0,1.0,20.0,50.0,0.0,
Tatsuya,http://ufcstats.com/fighter-details/17615148dd4be6f6,"68.0""",14,4,1,0.93,19.0,4.93,50.0,0.0,0.0,0.0,0.0,
Alex,http://ufcstats.com/fighter-details/1562b12763cc8d67,--,10,5,0,0.2,36.0,2.6,53.0,0.0,0.0,25.0,0.8,
Jessica,http://ufcstats.com/fighter-details/6a1901c62ab3870f,"62.0""",26,15,0,6.37,48.0,5.58,54.0,2.1,54.0,75.0,0.3,
Viscardi,http://ufcstats.com/fighter-details/d221ee27afc7a60e,"75.0""",19,6,0,3.26,42.0,2.77,63.0,1.93,50.0,66.0,0.3,
Jermaine,http://ufcstats.com/fighter-details/9bad58fa651d6196,--,14,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Fellipe,http://ufcstats.com/fighter-details/7977fb0fd9c5955d,--,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Dylan,http://ufcstats.com/fighter-details/00debc804e2b1cd4,"74.0""",18,7,0,2.21,50.0,2.72,46.0,2.83,50.0,57.0,0.4,
Reese,http://ufcstats.com/fighter-details/46e2ca71fd5089cb,--,7,3,0,2.87,50.0,3.5,58.0,0.67,20.0,40.0,0.0,
,http://ufcstats.com/fighter-details/d6a3e131ad4ba064,"68.0""",13,3,0,3.56,38.0,3.77,53.0,0.0,0.0,33.0,0.0,
Julius,http://ufcstats.com/fighter-details/e20ad078a7d63361,--,5,1,0,4.62,78.0,1.86,50.0,4.47,50.0,60.0,1.1,
Collin,http://ufcstats.com/fighter-details/047a91d3d9c79b05,"71.0""",8,3,0,4.59,48.0,5.54,51.0,2.28,66.0,100.0,0.0,
Chad,http://ufcstats.com/fighter-details/c7c39e2fb70248b3,"64.0""",13,8,0,3.11,46.0,2.76,53.0,0.68,30.0,38.0,0.5,
Yoji,http://ufcstats.com/fighter-details/e06fd1260ac865a7,--,0,5,1,0.0,0.0,3.13,25.0,0.0,0.0,0.0,0.0,
Magomed,http://ufcstats.com/fighter-details/d802174b0c0c1f4e,"75.0""",21,2,1,3.65,52.0,2.59,56.0,0.79,22.0,87.0,0.0,
Gadzhimurad,http://ufcstats.com/fighter-details/af997f7611673880,"70.0""",20,8,0,2.08,55.0,4.21,40.0,5.08,36.0,0.0,1.4,
Adam,http://ufcstats.com/fighter-details/25b31165758402dd,"63.0""",12,3,0,5.73,52.0,5.0,69.0,0.0,0.0,100.0,0.0,
Angelo,http://ufcstats.com/fighter-details/dbd198f780286aca,--,1,4,0,1.09,50.0,7.64,50.0,0.0,0.0,0.0,0.0,
Vanilto,http://ufcstats.com/fighter-details/cc49ada1ea955b13,"72.0""",16,7,0,5.49,48.0,14.27,43.0,0.0,0.0,0.0,0.0,
Azunna,http://ufcstats.com/fighter-details/78d48d3874dacafd,--,14,5,0,2.47,42.0,2.47,69.0,0.65,100.0,0.0,0.0,
